strain	stress	trans
0.2012	86.1868	0.2111
0.2017	86.3813	0.2111
0.2022	86.5758	0.2101
0.2028	86.5758	0.2101
0.2033	86.7704	0.2092
0.2038	86.7704	0.2092
0.2043	86.9649	0.2082
0.2048	86.9649	0.2083
0.2054	87.1595	0.2073
0.2059	87.3541	0.2073
0.2064	87.3541	0.2064
0.2069	87.5486	0.2064
0.2075	87.5486	0.2054
0.208	87.7431	0.2054
0.2085	87.7431	0.2045
0.209	87.9377	0.2045
0.2096	87.9377	0.2036
0.2101	88.1323	0.2036
0.2106	88.1323	0.2026
0.2111	88.3268	0.2026
0.2117	88.5213	0.2017
0.2122	88.5213	0.2017
0.2127	88.5213	0.2008
0.2132	88.716	0.2008
0.2138	88.9104	0.1998
0.2143	88.9104	0.1989
0.2147	89.1051	0.1989
0.2153	89.1051	0.1989
0.2158	89.2995	0.198
0.2164	89.2995	0.198
0.2169	89.4942	0.197
0.2174	89.4942	0.197
0.2179	89.6886	0.1961
0.2185	89.6886	0.1961
0.219	89.8833	0.1952
0.2195	89.8833	0.1952
0.22	90.0778	0.1942
0.2206	90.0778	0.1942
0.2211	90.2724	0.1942
0.2216	90.2724	0.1933
0.2221	90.4668	0.1933
0.2227	90.4668	0.1924
0.2232	90.6615	0.1924
0.2237	90.6615	0.1924
0.2242	90.8559	0.1914
0.2248	90.8559	0.1914
0.2253	91.0506	0.1905
0.2258	91.0506	0.1905
0.2263	91.2451	0.1896
0.2269	91.2451	0.1896
0.2274	91.4397	0.1896
0.2279	91.4397	0.1886
0.2284	91.6341	0.1886
0.2288	91.6341	0.1877
0.2295	91.8288	0.1877
0.23	91.8288	0.1867
0.2305	91.8288	0.1868
0.231	92.0233	0.1858
0.2316	92.0233	0.1858
0.2321	92.2179	0.1849
0.2326	92.2179	0.1849
0.2331	92.4125	0.1839
0.2337	92.4125	0.1839
0.2342	92.607	0.183
0.2347	92.607	0.183
0.2352	92.8016	0.1821
0.2358	92.8016	0.1811
0.2363	92.8016	0.1811
0.2368	92.9961	0.1802
0.2373	92.9961	0.1802
0.2379	93.1907	0.1793
0.2384	93.1907	0.1783
0.2389	93.3852	0.1783
0.2394	93.3852	0.1774
0.2399	93.3852	0.1774
0.2405	93.5798	0.1764
0.241	93.5798	0.1755
0.2415	93.7743	0.1755
0.242	93.7743	0.1746
0.2426	93.7743	0.1736
0.2431	93.9689	0.1736
0.2436	93.9689	0.1727
0.2441	93.9689	0.1718
0.2447	94.1634	0.1718
0.2452	94.1634	0.1708
0.2457	94.1634	0.1699
0.2462	94.358	0.1699
0.2468	94.358	0.1699
0.2473	94.358	0.169
0.2478	94.5525	0.168
0.2483	94.5525	0.1661
0.2489	94.5525	0.1662
0.2494	94.7471	0.1652
0.2499	94.7471	0.1643
