strain	     stress       trans
0.089849302	50.15991736	0.036844537
0.090368738	50.51166449	0.036766121
0.090888173	50.85763112	0.036687791
0.091407609	51.19761155	0.036609561
0.091927045	51.5314151	0.03653145
0.09244648	51.85886585	0.036453471
0.092965916	52.17980232	0.036375642
0.093485351	52.49407713	0.03629798
0.094004787	52.80155661	0.036220502
0.094524223	53.10212041	0.036143223
0.095043658	53.39566106	0.036066163
0.095563094	53.68208351	0.035989337
0.096082529	53.96130475	0.035912764
0.096601965	54.23325336	0.03583646
0.0971214	54.4978691	0.035760443
0.097640836	54.75510252	0.035684731
0.098160272	55.00491466	0.035609341
0.098679707	55.24727665	0.035534291
0.099199143	55.48216945	0.035459597
0.099718578	55.7095836	0.035385277
0.100238014	55.92951896	0.035311348
0.100757449	56.14198455	0.035237828
0.101276885	56.34699836	0.035164732
0.101796321	56.54458721	0.035092078
0.102315756	56.73478665	0.035019882
0.102835192	56.91764086	0.03494816
0.103354627	57.09320257	0.034876927
0.103874063	57.26153297	0.0348062
0.104393499	57.4227017	0.034735994
0.104912934	57.57678677	0.034666323
0.10543237	57.72387447	0.034597201
0.105951805	57.86405939	0.034528644
0.106471241	57.99744426	0.034460665
0.106990676	58.12413994	0.034393277
0.107510112	58.24426528	0.034326492
0.108029548	58.35794703	0.034260324
0.108548983	58.46531968	0.034194783
0.109068419	58.56652536	0.034129882
0.109587854	58.6617136	0.03406563
0.11010729	58.75104114	0.034002039
0.110626725	58.83467176	0.033939117
0.111146161	58.91277594	0.033876874
0.111665597	58.98553067	0.033815317
0.112185032	59.05311909	0.033754456
0.112704468	59.1157302	0.033694296
0.113223903	59.17355851	0.033634845
0.113743339	59.22680368	0.033576109
0.114262775	59.27567013	0.033518091
0.11478221	59.32036662	0.033460798
0.115301646	59.36110587	0.033404233
0.115821081	59.39810413	0.033348398
0.116340517	59.4315807	0.033293296
0.116859952	59.46175749	0.03323893
0.117379388	59.4888586	0.0331853
0.117898824	59.51310979	0.033132406
0.118418259	59.53473805	0.033080248
0.118937695	59.55397112	0.033028825
0.11945713	59.57103702	0.032978135
0.119976566	59.58616355	0.032928175
0.120496002	59.59957786	0.032878943
0.121015437	59.61150595	0.032830433
0.121534873	59.62217224	0.032782643
0.122054308	59.63179912	0.032735565
0.122573744	59.64060646	0.032689194
0.123093179	59.64881124	0.032643523
0.123612615	59.65662712	0.032598544
0.124132051	59.66426399	0.032554249
0.124651486	59.67192764	0.032510629
0.125170922	59.67981932	0.032467674
0.125690357	59.68813545	0.032425374
0.126209793	59.6970672	0.032383717
0.126729228	59.70680023	0.032342691
0.127248664	59.71751434	0.032302284
0.1277681	59.7293832	0.032262482
0.128287535	59.74257406	0.032223273
0.128806971	59.75724752	0.03218464
0.129326406	59.7735573	0.03214657
0.129845842	59.79165001	0.032109045
0.130365278	59.81166497	0.032072051
0.130884713	59.83373405	0.032035569
0.131404149	59.85798152	0.031999583
0.131923584	59.88452391	0.031964074
0.13244302	59.91346992	0.031929023
0.132962455	59.94492035	0.031894413
0.133481891	59.97896798	0.031860222
0.134001327	60.01569759	0.031826431
0.134520762	60.05518593	0.031793021
0.135040198	60.09750168	0.031759969
0.135559633	60.14270551	0.031727254
0.136079069	60.1908501	0.031694856
0.136598504	60.24198021	0.031662751
0.13711794	60.29613275	0.031630918
0.137637376	60.35333687	0.031599335
0.138156811	60.4136141	0.031567978
0.138676247	60.47697846	0.031536825
0.139195682	60.54343662	0.031505852
0.139715118	60.61298804	0.031475036
0.140234554	60.68562521	0.031444353
0.140753989	60.76133378	0.031413779
0.141273425	60.8400928	0.031383292
0.14179286	60.92187495	0.031352867
0.142312296	61.00664677	0.03132248
0.142831731	61.09436888	0.031292108
0.143351167	61.18499629	0.031261726
0.143870603	61.27847861	0.031231311
0.144390038	61.37476038	0.031200839
0.144909474	61.47378132	0.031170287
0.145428909	61.57547662	0.031139631
0.145948345	61.67977726	0.031108848
0.14646778	61.7866103	0.031077914
0.146987216	61.89589917	0.031046809
0.147506652	62.00756403	0.031015507
0.148026087	62.12152201	0.030983989
0.148545523	62.2376876	0.03095223
0.149064958	62.3559729	0.030920211
0.149584394	62.47628796	0.03088791
0.15010383	62.5985411	0.030855306
0.150623265	62.72263921	0.030822379
0.151142701	62.84848804	0.030789109
0.151662136	62.97599253	0.030755477
0.152181572	63.10505709	0.030721464
0.152701007	63.23558588	0.030687052
0.153220443	63.36748311	0.030652223
0.153739879	63.50065331	0.030616961
0.154259314	63.6350016	0.030581248
0.15477875	63.77043395	0.03054507
0.155298185	63.9068574	0.030508411
0.155817621	64.04418037	0.030471257
0.156337057	64.18231278	0.030433594
0.156856492	64.32116638	0.03039541
0.157375928	64.46065487	0.030356693
0.157895363	64.60069413	0.030317432
0.158414799	64.7412024	0.030277615
0.158934234	64.88210043	0.030237234
0.15945367	65.02331165	0.03019628
0.159973106	65.16476228	0.030154745
0.160492541	65.30638151	0.030112622
0.161011977	65.44810155	0.030069905
0.161531412	65.58985776	0.030026588
0.162050848	65.73158873	0.029982668
0.162570283	65.87323636	0.029938141
0.163089719	66.01474588	0.029893005
0.163609155	66.15606592	0.029847257
0.16412859	66.29714854	0.029800898
0.164648026	66.43794922	0.029753928
0.165167461	66.57842687	0.029706347
0.165686897	66.71854384	0.029658158
0.166206333	66.85826586	0.029609364
0.166725768	66.99756201	0.02955997
0.167245204	67.13640468	0.029509979
0.167764639	67.2747695	0.029459398
0.168284075	67.41263527	0.029408234
0.16880351	67.54998389	0.029356494
0.169322946	67.68680022	0.029304187
0.169842382	67.82307204	0.029251323
0.170361817	67.95878989	0.029197912
0.170881253	68.09394696	0.029143965
0.171400688	68.22853899	0.029089496
0.171920124	68.3625641	0.029034516
0.172439559	68.49602266	0.028979041
0.172958995	68.62891716	0.028923085
0.173478431	68.76125204	0.028866664
0.173997866	68.89303353	0.028809794
0.174517302	69.02426955	0.028752493
0.175036737	69.15496944	0.028694779
0.175556173	69.28514392	0.028636671
0.176075609	69.41480485	0.028578188
0.176595044	69.54396508	0.028519351
0.17711448	69.6726383	0.028460181
0.177633915	69.80083888	0.028400699
0.178153351	69.92858172	0.028340927
0.178672786	70.05588206	0.028280887
0.179192222	70.18275534	0.028220604
0.179711658	70.30921709	0.0281601
0.180231093	70.43528272	0.0280994
0.180750529	70.56096744	0.028038529
0.181269964	70.6862861	0.02797751
0.1817894	70.81125305	0.027916369
0.182308835	70.93588204	0.027855131
0.182828271	71.06018611	0.027793822
0.183347707	71.18417746	0.027732467
0.183867142	71.3078674	0.027671093
0.184386578	71.43126619	0.027609725
0.184906013	71.55438303	0.027548389
0.185425449	71.67722595	0.02748711
0.185944885	71.79980175	0.027425915
0.18646432	71.92211596	0.02736483
0.186983756	72.04417278	0.027303878
0.187503191	72.16597508	0.027243086
0.188022627	72.28752433	0.027182479
0.188542062	72.40882062	0.02712208
0.189061498	72.52986262	0.027061914
0.189580934	72.65064762	0.027002004
0.190100369	72.77117154	0.026942374
0.190619805	72.89142891	0.026883044
0.19113924	73.01141296	0.026824038
0.191658676	73.1311156	0.026765375
0.192178112	73.25052751	0.026707077
0.192697547	73.36963819	0.026649161
0.193216983	73.48843598	0.026591647
0.193736418	73.6069082	0.026534552
0.194255854	73.72504115	0.026477892
0.194775289	73.84282025	0.026421682
0.195294725	73.96023009	0.026365937
0.195814161	74.07725454	0.026310668
0.196333596	74.19387683	0.026255888
0.196853032	74.31007968	0.026201607
0.197372467	74.42584535	0.026147833
0.197891903	74.5411558	0.026094575
0.198411338	74.65599275	0.026041838
0.198930774	74.77033783	0.025989627
0.19945021	74.88417265	0.025937945
0.199969645	74.99747893	0.025886793
0.200489081	75.1102386	0.025836173
0.201008516	75.22243391	0.025786084
0.201527952	75.33404753	0.025736521
0.202047388	75.44506265	0.025687481
0.202566823	75.55546308	0.025638958
0.203086259	75.66523334	0.025590944
0.203605694	75.77435877	0.025543431
0.20412513	75.88282557	0.025496408
0.204644565	75.99062093	0.025449861
0.205164001	76.09773308	0.025403777
0.205683437	76.20415135	0.02535814
0.206202872	76.30986624	0.025312933
0.206722308	76.41486949	0.025268135
0.207241743	76.51915408	0.025223727
0.207761179	76.62271431	0.025179684
0.208280614	76.72554583	0.025135983
0.20880005	76.82764562	0.025092598
0.209319486	76.92901206	0.0250495
0.209838921	77.02964488	0.025006661
0.210358357	77.1295452	0.02496405
0.210877792	77.2287155	0.024921634
0.211397228	77.32715958	0.024879379
0.211916664	77.42488257	0.024837252
0.212436099	77.52189084	0.024795216
0.212955535	77.61819199	0.024753233
0.21347497	77.71379481	0.024711267
0.213994406	77.80870914	0.024669278
0.214513841	77.90294589	0.024627226
0.215033277	77.99651689	0.024585072
0.215552713	78.08943485	0.024542776
0.216072148	78.18171324	0.024500295
0.216591584	78.2733662	0.024457589
0.217111019	78.36440842	0.024414617
0.217630455	78.45485508	0.024371337
0.21814989	78.54472167	0.024327707
0.218669326	78.63402392	0.024283686
0.219188762	78.72277765	0.024239233
0.219708197	78.8109987	0.02419431
0.220227633	78.89870274	0.024148879
0.220747068	78.9859052	0.024102907
0.221266504	79.07262114	0.024056363
0.22178594	79.15886511	0.024009222
0.222305375	79.24465108	0.023961466
0.222824811	79.32999228	0.02391308
0.223344246	79.41490117	0.023864056
0.223863682	79.49938927	0.023814393
0.224383117	79.58346713	0.023764092
0.224902553	79.66714425	0.023713158
0.225421989	79.75042897	0.023661599
0.225941424	79.83332851	0.023609422
0.22646086	79.91584886	0.023556638
0.226980295	79.99799479	0.023503257
0.227499731	80.07976985	0.023449294
0.228019167	80.1611764	0.023394772
0.228538602	80.2422156	0.023339725
0.229058038	80.32288752	0.023284201
0.229577473	80.40319117	0.023228246
0.230096909	80.48312461	0.023171898
0.230616344	80.56268507	0.023115188
0.23113578	80.64186906	0.023058147
0.231655216	80.72067255	0.023000808
0.232174651	80.7990911	0.022943208
0.232694087	80.87712009	0.022885388
0.233213522	80.95475486	0.02282739
0.233732958	81.03199098	0.022769262
0.234252393	81.10882441	0.022711056
0.234771829	81.18525177	0.022652923
0.235291265	81.26127055	0.022596613
0.2358107	81.33687933	0.022548645
0.236330136	81.41207799	0.022512653
0.236849571	81.48686794	0.022484499
0.237369007	81.56125231	0.022457897
0.237888443	81.63523612	0.022429663
0.238407878	81.70882639	0.022399343
0.238927314	81.78203235	0.022367491
0.239446749	81.85486541	0.022334774
0.239966185	81.92733927	0.022301838
0.24048562	81.99946991	0.022268538
0.241005056	82.0712755	0.022235129
0.241524492	82.14277634	0.022201722
0.242043927	82.21399463	0.022168371
0.242563363	82.28495432	0.022135097
0.243082798	82.35568075	0.02210191
0.243602234	82.42620037	0.022068812
0.244121669	82.49654029	0.022035784
0.244641105	82.56672782	0.022002811
0.245160541	82.63678994	0.021969879
0.245679976	82.70675272	0.021936982
0.246199412	82.77664071	0.021904112
0.246718847	82.84647625	0.021871265
0.247238283	82.91627873	0.021838438
0.247757719	82.98606389	0.021805629
