Density, E_angle, E_bond, E_dihed, E_impro, E_vdwl, KinEng, Lx, Ly, Lz, PotEng, Press, Step, Temp, TotEng, Volume, f_avd, f_sxx_ave, f_syy_ave, f_szz_ave, v_Time, v_sxx, v_syy, v_szz
1.1579225, 44235.509, 9004.9213, -4533.8676, 287.19921, -3405.9985, 18754.439, 60.541292, 58.441249, 58.586261, 44355.544, 115.98895, 116000, 298.7666, 63109.983, 207284.56, 1.1569975, -3.9700814, -3.4873691, 3.6696342, 58, -0.78507168, -20.966251, -13.506419
1.1579588, 44223.377, 9093.2521, -4729.8073, 268.6816, -3292.0197, 19048.561, 60.525726, 58.492956, 58.547693, 44356.278, 410.57024, 118000, 303.45208, 63404.839, 207278.07, 1.1553274, 5.3261686, 3.8703188, -8.8131206, 59, -43.123244, -79.414126, -2.2657184
1.1558373, 44053.2, 9262.44, -4603.8999, 290.68467, -3365.2499, 18692.981, 60.802967, 57.978504, 58.905789, 44416.996, 396.35402, 120000, 297.78754, 63109.977, 207658.52, 1.1566776, -5.5204961, 10.442682, -0.63620222, 60, -52.050286, -105.55675, 37.125327
1.1589477, 44090.93, 9024.896, -4436.8582, 297.86981, -3433.3744, 18858.237, 60.642676, 58.076177, 58.803916, 44312.245, -644.31614, 122000, 300.42014, 63170.482, 207101.2, 1.1585368, 1.030844, -7.7651821, 0.91636591, 61, -30.942912, 152.53294, 74.26597
1.1552516, 44095.556, 8946.3524, -4418.9096, 288.78311, -3429.3113, 18635.451, 60.459174, 58.429739, 58.813051, 44278.662, -207.65999, 124000, 296.87106, 62914.113, 207763.79, 1.1585677, -5.7540048, 1.2975463, 2.9978995, 62, -29.395658, 8.4545651, 84.064537
1.1593695, 44240.498, 8955.6533, -4488.7755, 294.91487, -3534.3621, 18858.622, 60.566728, 58.473294, 58.456514, 44193.638, -129.89605, 126000, 300.42627, 63052.26, 207025.85, 1.1568239, 4.1095303, 6.8666547, -3.5447523, 63, 21.266116, 40.142522, -21.923485
1.1586906, 44109.944, 9014.4919, -4457.5721, 287.1858, -3379.7189, 18916.088, 60.598348, 58.092454, 58.843496, 44351.79, 516.53181, 128000, 301.34173, 63267.878, 207147.15, 1.1591448, -1.6663394, -1.3762504, -2.465533, 64, -21.42216, -32.133588, -103.45701
1.1543149, 44175.619, 8997.8528, -4419.2624, 278.83249, -3380.4932, 18781.077, 60.509468, 58.40186, 58.83993, 44398.371, 545.595, 130000, 299.19095, 63179.448, 207932.4, 1.1574642, 2.0205738, -1.4743726, 2.4513281, 65, -112.4111, 32.309856, -85.745991
1.1573726, 44119.161, 9062.9812, -4432.0622, 277.82429, -3425.7834, 18938.624, 60.43717, 58.62556, 58.530486, 44345.495, -97.866367, 132000, 301.70073, 63284.119, 207383.05, 1.1585382, 1.745099, -5.0329371, -0.109659, 66, -17.791074, 72.744603, -25.2046
1.1548015, 44162.141, 9072.5383, -4462.2831, 298.45938, -3338.4535, 18685.906, 60.329795, 58.520906, 58.870297, 44470.756, -305.6653, 134000, 297.67483, 63156.662, 207844.78, 1.1584499, -2.0633773, 2.9154287, -6.9811759, 67, 140.22009, -30.471487, -16.833993
